#nu [Hz]            Compton Emission    
26.0199             -84.81              
26.0899             -86.49              
26.1599             -88.17              
26.2299             -89.85              
26.2999             -91.53              
26.3699             -93.21              
26.4399             -94.89              
26.5099             -96.57              
26.5799             -98.25              
26.6499             -198.155            
26.7199             -198.155            
26.7899             -198.155            
26.8599             -198.155            
26.9299             -198.155            
26.9999             -198.155            
27.0699             -198.155            
27.1399             -198.155            
27.2099             -198.155            
27.2799             -198.155            
