#nu [Hz]            Presyn Emission     
25.2181             -98.8239            
25.2847             -98.8239            
25.3514             -98.8239            
25.4181             -98.8239            
25.4847             -98.8239            
25.5514             -98.8239            
25.6181             -98.8239            
25.6847             -98.8239            
25.7514             -98.8239            
25.8181             -98.8239            
25.8847             -98.8239            
25.9514             -98.8239            
26.0181             -98.8239            
26.0847             -98.8239            
26.1514             -98.8239            
26.2181             -98.8239            
26.2847             -98.8239            
26.3514             -98.8239            
26.4181             -98.8239            
26.4847             -98.8239            
26.5514             -98.8239            
26.6181             -98.8239            
26.6847             -98.8239            
26.7514             -98.8239            
26.8181             -98.8239            
26.8847             -98.8239            
26.9514             -98.8239            
27.0181             -98.8239            
27.0847             -98.8239            
27.1514             -98.8239            
27.2181             -98.8239            
27.2847             -98.8239            
